Time,CH1,CH2,CH3,CH4,Accelerometer
mSecs,mVolts,mVolts,mVolts,mVolts,m/(sec^2)
79590.82031,-1.557658898,-0.96972338,-2.174683472,4.489258864,-2.788957055
79593.75,-1.560327398,-0.96664619,-2.173385283,4.488297243,-2.791411043
79597.65625,-1.559317695,-0.967199123,-2.173433364,4.48731158,-2.791411043
79601.5625,-1.55465383,-0.965035474,-2.172279418,4.492816865,-2.790184049
79605.46875,-1.554557668,-0.965492244,-2.173721851,4.492528378,-2.790184049
79609.375,-1.557923344,-0.966117299,-2.173409324,4.490677256,-2.788957055
79613.28125,-1.560639925,-0.965323961,-2.177207729,4.492287973,-2.791411043
79617.1875,-1.564221966,-0.967199123,-2.176895202,4.492552419,-2.790184049
79621.09375,-1.562130439,-0.969170447,-2.175621054,4.487576026,-2.791411043
79625,-1.559606182,-0.967175082,-2.17679904,4.490292608,-2.791411043
79628.90625,-1.562539128,-0.96573265,-2.176294189,4.488537648,-2.790184049
79632.8125,-1.558812844,-0.967487609,-2.176318229,4.490508972,-2.791411043
79636.71875,-1.557803141,-0.964073852,-2.177135608,4.488441486,-2.791411043
79640.625,-1.560255276,-0.965420123,-2.172279418,4.490076243,-2.791411043
79644.53125,-1.559726384,-0.962967987,-2.172880432,4.490148364,-2.792638037
79648.4375,-1.558596479,-0.964674866,-2.169322431,4.495557486,-2.791411043
79652.34375,-1.55775506,-0.96575669,-2.168721418,4.495605568,-2.793865031
79656.25,-1.558404155,-0.962535258,-2.166413526,4.493826567,-2.792638037
79660.15625,-1.560135074,-0.963713244,-2.168432931,4.495653649,-2.792638037
79664.0625,-1.566770264,-0.96133323,-2.177904905,4.494643946,-2.792638037
79667.96875,-1.569294521,-0.958905136,-2.178169351,4.491686959,-2.793865031
79671.875,-1.568981993,-0.960684136,-2.174899837,4.489475229,-2.792638037
79675.78125,-1.566650061,-0.961044744,-2.174611351,4.492744743,-2.792638037
79679.6875,-1.568092493,-0.963448798,-2.174683472,4.497600933,-2.793865031
79683.59375,-1.567707845,-0.962799704,-2.172952553,4.494956473,-2.793865031
79687.5,-1.565760561,-0.965612447,-2.169514756,4.493634243,-2.793865031
79691.40625,-1.564678736,-0.964650825,-2.16968304,4.494451622,-2.792638037
79695.3125,-1.567299155,-0.964626785,-2.174250743,4.493249594,-2.793865031
79699.21875,-1.565568236,-0.96219869,-2.172832351,4.492720702,-2.792638037
79703.125,-1.564221966,-0.96219869,-2.171870729,4.492095648,-2.792638037
79707.03125,-1.559365776,-0.95909746,-2.170668702,4.491638878,-2.792638037
79709.96094,-1.563981561,-0.96130919,-2.176294189,4.486830769,-2.793865031
79713.86719,-1.564318128,-0.961982325,-2.176246108,4.487023094,-2.792638037
79717.77344,-1.562370844,-0.96133323,-2.175837419,4.484162269,-2.792638037
79721.67969,-1.560327398,-0.958953217,-2.176486513,4.482070742,-2.792638037
79725.58594,-1.557875263,-0.95599623,-2.17547681,4.483537215,-2.791411043
79729.49219,-1.560784168,-0.958520487,-2.169947486,4.488225121,-2.791411043
79733.39844,-1.561409222,-0.96044373,-2.17280831,4.487383702,-2.791411043
79737.30469,-1.563933479,-0.958472406,-2.178169351,4.488032797,-2.791411043
79740.23438,-1.565351871,-0.96087646,-2.180525324,4.489306945,-2.791411043
79744.14063,-1.561962155,-0.958135838,-2.176149946,4.492961108,-2.791411043
79748.04688,-1.560279317,-0.960684136,-2.17636631,4.49127827,-2.790184049
79751.95313,-1.563452669,-0.962222731,-2.175741256,4.495605568,-2.790184049
79755.85938,-1.558692641,-0.961886163,-2.175260446,4.493009189,-2.790184049
79759.76563,-1.555278884,-0.961597676,-2.175044081,4.494163135,-2.791411043
79763.67188,-1.559750425,-0.95953019,-2.178866527,4.496038297,-2.793865031
79767.57813,-1.557081925,-0.959265744,-2.174322864,4.496374865,-2.790184049
79771.48438,-1.56174579,-0.96130919,-2.18432373,4.500341555,-2.791411043
79775.39063,-1.559485979,-0.960203325,-2.185020906,4.50012519,-2.790184049
79778.32031,-1.560447601,-0.96397769,-2.182640892,4.497600933,-2.791411043
79782.22656,-1.560639925,-0.959674433,-2.181078257,4.49791346,-2.788957055
79786.13281,-1.554942316,-0.962679501,-2.179659865,4.496422946,-2.790184049
79790.03906,-1.558812844,-0.961549595,-2.180861892,4.495677689,-2.788957055
79793.94531,-1.560135074,-0.95998696,-2.183530392,4.502505203,-2.788957055
79797.85156,-1.560207195,-0.96044373,-2.177255811,4.497168203,-2.788957055
79801.75781,-1.555495249,-0.962006366,-2.178505919,4.499163568,-2.787730061
79805.66406,-1.557851222,-0.96087646,-2.176414392,4.498610635,-2.790184049
79809.57031,-1.556721317,-0.962799704,-2.177135608,4.499211649,-2.787730061
79813.47656,-1.556769398,-0.958568568,-2.181607149,4.501495501,-2.787730061
79817.38281,-1.556360708,-0.962823744,-2.179275216,4.505149663,-2.787730061
79821.28906,-1.557610817,-0.96176596,-2.176414392,4.502216717,-2.787730061
79825.19531,-1.555759695,-0.962150609,-2.179323297,4.502385001,-2.786503067
79829.10156,-1.5560001,-0.959121501,-2.180284919,4.500533879,-2.787730061
79833.00781,-1.5577791,-0.958760892,-2.174923878,4.49923569,-2.790184049
79835.9375,-1.555567371,-0.958400284,-2.178217432,4.497865379,-2.788957055
79839.84375,-1.558884965,-0.962535258,-2.183097663,4.498105784,-2.788957055
79843.75,-1.559606182,-0.961140906,-2.178001067,4.494163135,-2.790184049
79847.65625,-1.557731019,-0.963833447,-2.17857804,4.494475662,-2.787730061
79851.5625,-1.555495249,-0.962030406,-2.182785135,4.494355459,-2.788957055
79855.46875,-1.554798073,-0.960083122,-2.180164716,4.493610203,-2.788957055
79859.375,-1.559654263,-0.959602311,-2.18165523,4.494956473,-2.788957055
79863.28125,-1.564654696,-0.959602311,-2.183818879,4.495437284,-2.790184049
79866.21094,-1.56172175,-0.964242136,-2.184492014,4.493874648,-2.788957055
79870.11719,-1.562058317,-0.963424758,-2.181895635,4.492023527,-2.788957055
79874.02344,-1.55732233,-0.964049812,-2.180164716,4.493321716,-2.788957055
79877.92969,-1.559846587,-0.962871825,-2.182184122,4.495653649,-2.788957055
79881.83594,-1.564967223,-0.962366974,-2.18297746,4.497288406,-2.790184049
79885.74219,-1.559293655,-0.963424758,-2.180429162,4.497817298,-2.788957055
79889.64844,-1.55864456,-0.963569001,-2.182881298,4.497721135,-2.790184049
79893.55469,-1.560447601,-0.963280514,-2.177928946,4.500317514,-2.792638037
79897.46094,-1.559846587,-0.961934244,-2.178361676,4.505510271,-2.791411043
79901.36719,-1.560615885,-0.960804339,-2.177327932,4.504428447,-2.791411043
79905.27344,-1.557538695,-0.961958285,-2.179371378,4.504260163,-2.791411043
79909.17969,-1.563212263,-0.961910204,-2.185237271,4.502240757,-2.790184049
79913.08594,-1.56616925,-0.961453433,-2.180693608,4.498057703,-2.790184049
79916.99219,-1.565784601,-0.962054447,-2.174154581,4.500726203,-2.791411043
79920.89844,-1.564342169,-0.962102528,-2.171990932,4.50233692,-2.791411043
79924.80469,-1.565880763,-0.95996292,-2.177279851,4.503130258,-2.791411043
79928.71094,-1.56705875,-0.958087757,-2.177544297,4.503106217,-2.792638037
79932.61719,-1.566553899,-0.96087646,-2.178433797,4.504067839,-2.791411043
79936.52344,-1.567371277,-0.959289784,-2.177087527,4.505582393,-2.793865031
79940.42969,-1.564774898,-0.958905136,-2.181006135,4.509188474,-2.792638037
79944.33594,-1.568789669,-0.958232,-2.181775433,4.508875947,-2.790184049
79948.24219,-1.570256142,-0.961477474,-2.177977027,4.50502946,-2.791411043
79952.14844,-1.568789669,-0.958472406,-2.182688973,4.507457555,-2.792638037
